date,Daily_Step_Count
2022-12-31,30039
2023-01-01,8982
2023-01-02,13443
2023-01-03,24669
2023-01-04,27192
2023-01-05,33324
2023-01-06,2238
2023-01-07,2259
2023-01-08,1416
2023-01-09,9855
2023-01-10,564
2023-01-11,1911
2023-01-12,6660
2023-01-13,3234
2023-01-14,5316
2023-01-15,6162
2023-01-16,5010
2023-01-17,1167
2023-01-18,9192
2023-01-19,1209
2023-01-20,6399
2023-01-21,15345
2023-01-22,2844
2023-01-23,11901
2023-01-24,12072
2023-01-25,24810
2023-01-26,6204
2023-01-27,23823
2023-01-28,16479
2023-01-29,3327
2023-01-30,32673
2023-01-31,46719
2023-02-01,43380
2023-02-02,23670
2023-02-03,52041
2023-02-04,13602
2023-02-05,37305
2023-02-06,8322
2023-02-07,16743
2023-02-08,16059
2023-02-09,13017
2023-02-10,26862
2023-02-11,20574
2023-02-12,13611
2023-02-13,12018
2023-02-14,16527
2023-02-15,9807
2023-02-16,14748
2023-02-17,19170
2023-02-18,26202
2023-02-19,23415
2023-02-20,21930
2023-02-21,5394
2023-02-22,5610
2023-02-23,1806
2023-02-24,2664
2023-02-25,1929
2023-02-26,7500
2023-02-27,4065
2023-02-28,264
2023-03-01,0
2023-03-02,4623
2023-03-03,4035
2023-03-04,5538
2023-03-05,5895
2023-03-06,2217
2023-03-07,3423
2023-03-08,7746
2023-03-09,879
2023-03-10,165
2023-03-11,2094
2023-03-12,30471
2023-03-13,29976
2023-03-14,34767
2023-03-15,33357
2023-03-16,38028
2023-03-17,38889
2023-03-18,16803
2023-03-19,21741
2023-03-20,26964
2023-03-21,29256
2023-03-22,7320
2023-03-23,1215
2023-03-24,2655
2023-03-25,1101
2023-03-26,756
2023-03-27,2280
2023-03-28,6207
2023-03-29,147
2023-03-30,306
2023-03-31,528
2023-04-01,3600
2023-04-02,2364
2023-04-03,2196
2023-04-04,4503
2023-04-05,177
2023-04-06,408
2023-04-07,798
2023-04-08,6120
2023-04-09,40278
2023-04-10,39390
2023-04-11,52920
2023-04-12,52437
2023-04-13,47700
2023-04-14,52881
2023-04-15,37920
2023-04-16,33084
2023-04-17,49560
2023-04-18,45672
2023-04-19,51180
2023-04-20,29424
2023-04-21,4527
2023-04-22,11139
2023-04-23,2379
2023-04-24,3048
2023-04-25,1629
2023-04-26,1398
2023-04-27,363
2023-04-28,7179
2023-04-29,3411
2023-04-30,16971
2023-05-01,17187
2023-05-02,19653
2023-05-03,3183
2023-05-04,16005
2023-05-05,8031
2023-05-06,17754
2023-05-07,9120
2023-05-08,16764
2023-05-09,20004
2023-05-10,12918
2023-05-11,14943
2023-05-12,18465
2023-05-13,14631
2023-05-14,9069
2023-05-15,16812
2023-05-16,7899
2023-05-17,24759
2023-05-18,21063
2023-05-19,38259
2023-05-20,41403
2023-05-21,2337
2023-05-22,11343
2023-05-23,8097
2023-05-24,9864
2023-05-25,4053
2023-05-26,2385
2023-05-27,1893
2023-05-28,3513
2023-05-29,1359
2023-05-30,10668
2023-05-31,24492
2023-06-01,16554
2023-06-02,21579
2023-06-03,19686
2023-06-04,10245
2023-06-05,24579
2023-06-06,19164
2023-06-07,17946
2023-06-08,17988
2023-06-09,36240
2023-06-10,10581
2023-06-11,10176
2023-06-12,18432
2023-06-13,19734
2023-06-14,20418
2023-06-15,24423
2023-06-16,36405
2023-06-17,13854
2023-06-18,19227
2023-06-19,27363
2023-06-20,30096
2023-06-21,31896
2023-06-22,17883
2023-06-23,30177
2023-06-24,38268
2023-06-25,20019
2023-06-26,23958
2023-06-27,28611
2023-06-28,24120
2023-06-29,54180
2023-06-30,33003
2023-07-01,16122
2023-07-02,9627
2023-07-03,19950
2023-07-04,10410
2023-07-05,11529
2023-07-06,15714
2023-07-07,17412
2023-07-08,6552
2023-07-09,13950
2023-07-10,8775
2023-07-11,16338
2023-07-12,10374
2023-07-13,13704
2023-07-14,25242
2023-07-15,11715
2023-07-16,5829
2023-07-17,16497
2023-07-18,15999
2023-07-19,12987
2023-07-20,6732
2023-07-21,24723
2023-07-22,15168
2023-07-23,12912
2023-07-24,3348
2023-07-25,4803
2023-07-26,6912
2023-07-27,4284
2023-07-28,8637
2023-07-29,10071
2023-07-30,8979
2023-07-31,4971
2023-08-01,894
2023-08-02,189
2023-08-03,201
2023-08-04,198
2023-08-05,4779
2023-08-06,5631
2023-08-07,2889
2023-08-08,6723
2023-08-09,7176
2023-08-10,6639
2023-08-11,10917
2023-08-12,12972
2023-08-13,10503
2023-08-14,9012
2023-08-15,9477
2023-08-16,12069
2023-08-17,5682
2023-08-18,1317
2023-08-19,7131
2023-08-20,7146
2023-08-21,6858
2023-08-22,6084
2023-08-23,5013
2023-08-24,10572
2023-08-25,8613
2023-08-26,234
2023-08-27,12267
2023-08-28,1122
2023-08-29,1122
2023-08-30,2940
2023-08-31,297
2023-09-01,252
2023-09-02,360
2023-09-03,411
2023-09-04,8547
2023-09-05,462
2023-09-06,1923
2023-09-07,2952
2023-09-08,2529
2023-09-09,948
2023-09-10,1653
2023-09-11,7866
2023-09-12,9432
2023-09-13,6237
2023-09-14,5856
2023-09-15,7119
2023-09-16,7020
2023-09-17,11130
2023-09-18,28968
2023-09-19,19302
2023-09-20,14712
2023-09-21,18510
2023-09-22,18198
2023-09-23,27012
2023-09-24,37737
2023-09-25,11379
2023-09-26,1611
2023-09-27,2964
2023-09-28,5172
2023-09-29,4068
2023-09-30,6894
2023-10-01,2079
2023-10-02,2262
2023-10-03,4557
2023-10-04,5001
2023-10-05,3741
2023-10-06,3987
2023-10-07,2892
2023-10-08,6099
2023-10-09,4821
2023-10-10,25419
2023-10-11,54318
2023-10-12,41346
2023-10-13,48753
2023-10-14,16239
2023-10-15,10965
2023-10-16,40824
2023-10-17,17895
2023-10-18,3012
2023-10-19,14484
2023-10-20,4380
2023-10-21,315
2023-10-22,2184
2023-10-23,1767
2023-10-24,2625
2023-10-25,414
2023-10-26,1836
2023-10-27,2337
2023-10-28,11124
2023-10-29,2955
2023-10-30,882
2023-10-31,11826
2023-11-01,63570
2023-11-02,25203
2023-11-03,30549
2023-11-04,40407
2023-11-05,27297
2023-11-06,24786
2023-11-07,29886
2023-11-08,23109
2023-11-09,2676
2023-11-10,306
2023-11-11,2157
2023-11-12,1518
2023-11-13,291
2023-11-14,5427
2023-11-15,6630
2023-11-16,5046
2023-11-17,1080
2023-11-18,4227
2023-11-19,792
2023-11-20,14516
2023-11-21,17998
2023-11-22,20841
2023-11-23,27612
2023-11-24,17553
2023-11-25,10551
2023-11-26,16284
2023-11-27,10869
2023-11-28,8100
2023-11-29,20337
2023-11-30,14436
2023-12-01,36846
2023-12-02,18348
2023-12-03,11478
2023-12-04,26367
2023-12-05,28443
2023-12-06,20700
2023-12-07,31524
2023-12-08,19257
2023-12-09,14760
2023-12-10,24180
2023-12-11,18459
2023-12-12,39123
2023-12-13,22542
2023-12-14,32937
2023-12-15,31917
2023-12-16,18561
2023-12-17,28707
2023-12-18,13968
2023-12-19,12570
2023-12-20,15954
2023-12-21,56043
2023-12-22,28932
2023-12-23,14280
2023-12-24,30543
2023-12-25,21558
2023-12-26,16551
2023-12-27,9366
2023-12-28,2946
2023-12-29,10074
2023-12-30,17811
2023-12-31,44898
2024-01-01,31245
2024-01-02,6867
2024-01-03,22650
2024-01-04,3276
2024-01-05,3678
2024-01-06,3837
2024-01-07,13287
2024-01-08,2904
2024-01-09,7779
2024-01-10,4233
2024-01-11,4995
2024-01-12,13479
2024-01-13,3504
2024-01-14,11433
2024-01-15,10479
2024-01-16,5958
2024-01-17,1527
2024-01-18,3699
2024-01-19,2073
2024-01-20,771
2024-01-21,456
2024-01-22,630
2024-01-23,369
2024-01-24,2574
2024-01-25,1809
2024-01-26,333
2024-01-27,2184
2024-01-28,2496
2024-01-29,1380
2024-01-30,2334
2024-01-31,822
2024-02-01,2910
2024-02-02,1824
2024-02-03,2754
2024-02-04,873
2024-02-05,2601
2024-02-06,1221
2024-02-07,6594
2024-02-08,453
2024-02-09,2613
2024-02-10,1938
2024-02-11,3201
2024-02-12,966
2024-02-13,3996
2024-02-14,3639
2024-02-15,1566
2024-02-16,2004
2024-02-17,1959
2024-02-18,1614
2024-02-19,1137
2024-02-20,2418
2024-02-21,933
2024-02-22,7377
2024-02-23,1653
2024-02-24,5007
2024-02-25,2820
2024-02-26,10755
2024-02-27,45999
2024-02-28,10668
2024-02-29,174
2024-03-01,1863
2024-03-02,1722
2024-03-03,1788
2024-03-04,480
2024-03-05,16776
2024-03-06,6030
2024-03-07,2898
2024-03-08,1320
2024-03-09,1776
2024-03-10,3012
2024-03-11,1479
2024-03-12,2934
2024-03-13,1041
2024-03-14,1749
2024-03-15,474
2024-03-16,3624
2024-03-17,192
2024-03-18,264
2024-03-19,57
2024-03-20,1683
2024-03-21,2175
2024-03-22,4407
2024-03-23,1893
2024-03-24,1071
2024-03-25,14571
2024-03-26,675
